Gate_index;Calc-Gated_Sample-X;Calc-Gated_Sample-Z;Calc-Gated_Sample-Rz;Calc-Gated_Sample-Rx;Calc-Gated_Sample-Rs;Calc-Gated_FZPCS-X;Calc-Gated_FZPCS-Z;Calc-Gated_FZPCS-Rx;Calc-Gated_FZPCS-Rz;Raw-Gated_Sample-Xe;Raw-Gated_Sample-Xi;Raw-Gated_Sample-Ze;Raw-Gated_Sample-Zi;Raw-Gated_Sample-Zo;Raw-Gated_FZPCS-Xe;Raw-Gated_FZPCS-Xi;Raw-Gated_FZPCS-Ze;Raw-Gated_FZPCS-Zi;std(Raw-Gated_Sample-Xe);std(Raw-Gated_Sample-Xi);std(Raw-Gated_Sample-Ze);std(Raw-Gated_Sample-Zi);std(Raw-Gated_Sample-Zo);std(Raw-Gated_FZPCS-Xe);std(Raw-Gated_FZPCS-Xi);std(Raw-Gated_FZPCS-Ze);std(Raw-Gated_FZPCS-Zi);
0.000000;3.614760e-01;-3.418175e+00;-1.623380e-05;1.833325e+01;-7.460387e-09;-5.923437e-05;4.888281e-04;-2.531310e-04;-5.707197e-05;-3.614739e-01;-3.614781e-01;-4.319616e+04;1.552258e+00;2.213841e+04;6.620755e-05;5.226415e-05;5.197547e-04;4.579057e-04;nan;nan;1.068234e+01;2.763095e-04;1.995114e+00;3.615189e-06;3.216377e-06;2.510405e-06;2.356582e-06;
1.000000;3.619669e-01;-3.417027e+00;5.789261e-05;1.833720e+01;-7.460387e-09;-5.998047e-05;4.888203e-04;-2.531949e-04;-5.806313e-05;-3.619745e-01;-3.619593e-01;-4.319616e+04;1.554554e+00;2.213933e+04;6.707547e-05;5.288679e-05;5.197547e-04;4.578868e-04;6.721421e-05;nan;1.068234e+01;nan;nan;3.690145e-06;3.207696e-06;3.065270e-06;2.821794e-06;
2.000000;3.592420e-01;-3.417469e+00;2.840916e-05;1.833568e+01;-7.460387e-09;-5.976172e-05;4.882891e-04;-2.534507e-04;-5.863865e-05;-3.592457e-01;-3.592382e-01;-4.319616e+04;1.553671e+00;2.213933e+04;6.692727e-05;5.260000e-05;5.192545e-04;4.573273e-04;1.823876e-05;nan;1.068234e+01;nan;4.114715e+00;3.926005e-06;3.425073e-06;3.552744e-06;3.326338e-06;
3.000000;3.592638e-01;-3.418936e+00;2.793169e-05;1.833063e+01;-7.460387e-09;-5.968164e-05;4.883047e-04;-2.527473e-04;-5.820701e-05;-3.592675e-01;-3.592602e-01;-4.319616e+04;1.550736e+00;2.213933e+04;6.679630e-05;5.257407e-05;5.191852e-04;4.574259e-04;1.154208e-04;nan;1.068234e+01;nan;6.831671e+00;3.889159e-06;3.347759e-06;2.844632e-06;2.772531e-06;
4.000000;3.620760e-01;-3.419389e+00;3.222888e-05;1.832907e+01;-7.460387e-09;-5.977148e-05;4.887637e-04;-2.528912e-04;-5.929410e-05;-3.620802e-01;-3.620718e-01;-4.319616e+04;1.549831e+00;2.213933e+04;6.701887e-05;5.252830e-05;5.196604e-04;4.578679e-04;nan;1.067635e-04;1.068234e+01;2.456970e-04;6.831671e+00;3.863164e-06;3.569275e-06;2.733956e-06;2.533975e-06;
5.000000;3.638015e-01;-3.418193e+00;8.128839e-05;1.833318e+01;-7.460387e-09;-5.969336e-05;4.881738e-04;-2.532109e-04;-5.980567e-05;-3.638122e-01;-3.637909e-01;-4.319616e+04;1.552221e+00;2.213934e+04;6.700000e-05;5.238889e-05;5.191111e-04;4.572408e-04;nan;nan;1.068234e+01;nan;4.573205e+00;3.595244e-06;3.228441e-06;2.383796e-06;2.430897e-06;
6.000000;3.652342e-01;-3.416732e+00;1.631736e-04;1.833821e+01;-7.460387e-09;-5.972070e-05;4.889609e-04;-2.552412e-04;-6.047710e-05;-3.652556e-01;-3.652129e-01;-4.319616e+04;1.555144e+00;2.213934e+04;6.711111e-05;5.233333e-05;5.201481e-04;4.577778e-04;5.308799e-05;nan;1.068234e+01;4.204212e-04;nan;3.899954e-06;3.382976e-06;2.803202e-06;2.860814e-06;
7.000000;3.626308e-01;-3.415847e+00;8.797289e-05;1.834126e+01;-7.460387e-09;-6.002734e-05;4.881406e-04;-2.533548e-04;-6.154820e-05;-3.626423e-01;-3.626193e-01;-4.319616e+04;1.556915e+00;2.213936e+04;6.754717e-05;5.250943e-05;5.190944e-04;4.571887e-04;nan;nan;1.068234e+01;1.901676e-04;3.742982e+00;4.615604e-06;4.114522e-06;2.683524e-06;2.401498e-06;
8.000000;3.595390e-01;-3.415842e+00;6.732254e-05;1.834127e+01;-7.460387e-09;-6.015820e-05;4.883281e-04;-2.525874e-04;-6.201181e-05;-3.595478e-01;-3.595302e-01;-4.319616e+04;1.556924e+00;2.213936e+04;6.773585e-05;5.258491e-05;5.191887e-04;4.574717e-04;nan;nan;1.068234e+01;2.470283e-04;3.742982e+00;3.660919e-06;3.200397e-06;2.539325e-06;2.350529e-06;
9.000000;3.570595e-01;-3.416743e+00;1.186500e-04;1.833818e+01;-7.460387e-09;-6.070508e-05;4.881953e-04;-2.550493e-04;-6.108459e-05;-3.570751e-01;-3.570440e-01;-4.319616e+04;1.555123e+00;2.213936e+04;6.816982e-05;5.324528e-05;5.193585e-04;4.570378e-04;nan;nan;1.068234e+01;3.030891e-04;5.374033e+00;3.825075e-06;3.324652e-06;2.605701e-06;2.530040e-06;
10.000000;3.562427e-01;-3.418200e+00;1.147109e-04;1.833316e+01;-7.460387e-09;-6.034375e-05;4.882871e-04;-2.554810e-04;-5.966179e-05;-3.562577e-01;-3.562277e-01;-4.319616e+04;1.552209e+00;2.213936e+04;6.763461e-05;5.305769e-05;5.195000e-04;4.570769e-04;1.064662e-04;nan;1.068234e+01;nan;3.742982e+00;4.076363e-06;3.676368e-06;3.259601e-06;3.152980e-06;
11.000000;3.572266e-01;-3.419664e+00;8.116902e-05;1.832812e+01;-7.460387e-09;-6.021484e-05;4.881211e-04;-2.553691e-04;-5.876654e-05;-3.572372e-01;-3.572160e-01;-4.319616e+04;1.549280e+00;2.213939e+04;6.739622e-05;5.303773e-05;5.193207e-04;4.569245e-04;5.063363e-05;nan;1.068234e+01;nan;nan;3.235067e-06;2.841497e-06;2.952841e-06;2.845849e-06;
12.000000;3.597376e-01;-3.420574e+00;3.664543e-05;1.832499e+01;-7.460387e-09;-6.013477e-05;4.877793e-04;-2.543300e-04;-5.855872e-05;-3.597424e-01;-3.597328e-01;-4.319616e+04;1.547460e+00;2.213940e+04;6.729091e-05;5.298182e-05;5.188546e-04;4.567091e-04;4.248952e-05;nan;1.068234e+01;2.191208e-04;6.274205e+00;3.462409e-06;3.059921e-06;2.546341e-06;2.517060e-06;
13.000000;3.628394e-01;-3.420576e+00;3.915212e-05;1.832498e+01;-7.460387e-09;-6.055273e-05;4.875352e-04;-2.537385e-04;-5.654441e-05;-3.628445e-01;-3.628343e-01;-4.319616e+04;1.547456e+00;2.213940e+04;6.746296e-05;5.364815e-05;5.185370e-04;4.565370e-04;nan;9.665297e-05;1.068234e+01;2.854889e-04;6.274205e+00;4.323593e-06;3.687605e-06;2.637138e-06;2.497197e-06;
14.000000;3.653557e-01;-3.419656e+00;1.296317e-04;1.832815e+01;-7.460387e-09;-6.071680e-05;4.873262e-04;-2.535946e-04;-5.721585e-05;-3.653726e-01;-3.653387e-01;-4.319616e+04;1.549296e+00;2.213942e+04;6.770909e-05;5.372727e-05;5.183091e-04;4.563455e-04;nan;7.688808e-05;1.068234e+01;2.368116e-04;nan;3.601346e-06;3.065666e-06;2.762786e-06;2.662271e-06;
15.000000;3.662988e-01;-3.418191e+00;1.394197e-04;1.833319e+01;-7.460387e-09;-6.049805e-05;4.872383e-04;-2.541861e-04;-5.849477e-05;-3.663171e-01;-3.662806e-01;-4.319616e+04;1.552226e+00;2.213944e+04;6.764815e-05;5.335185e-05;5.182963e-04;4.561852e-04;7.457460e-05;8.177214e-05;1.068234e+01;nan;nan;3.825618e-06;3.278199e-06;1.995315e-06;2.054645e-06;
16.000000;3.679827e-01;-3.416683e+00;1.843014e-04;1.833838e+01;-7.460387e-09;-5.976367e-05;4.870547e-04;-2.545058e-04;-5.923015e-05;-3.680068e-01;-3.679586e-01;-4.319616e+04;1.555241e+00;2.214009e+04;6.700000e-05;5.252830e-05;5.181509e-04;4.559622e-04;nan;nan;1.068234e+01;nan;nan;6.225342e-06;5.784183e-06;2.819076e-06;2.851302e-06;
17.000000;3.665424e-01;-3.415370e+00;1.015806e-04;1.834290e+01;-7.460387e-09;-5.974805e-05;4.876914e-04;-2.533548e-04;-6.025329e-05;-3.665557e-01;-3.665291e-01;-4.319616e+04;1.557868e+00;2.214095e+04;6.711111e-05;5.238889e-05;5.186481e-04;4.567408e-04;nan;1.079577e-04;1.068234e+01;nan;7.414043e+00;3.918876e-06;3.268350e-06;3.029412e-06;2.935773e-06;
18.000000;3.638058e-01;-3.414610e+00;2.196338e-05;1.834551e+01;-7.460387e-09;-5.969922e-05;4.872285e-04;-2.523156e-04;-5.988560e-05;-3.638087e-01;-3.638029e-01;-4.319616e+04;1.559388e+00;2.214096e+04;6.701923e-05;5.238462e-05;5.180577e-04;4.564038e-04;nan;4.959893e-05;1.068234e+01;nan;nan;6.544167e-06;5.578638e-06;2.435064e-06;2.332787e-06;
19.000000;3.607133e-01;-3.414442e+00;-2.232148e-05;1.834609e+01;-7.460387e-09;-6.013281e-05;4.874492e-04;-2.549215e-04;-5.825497e-05;-3.607104e-01;-3.607162e-01;-4.319616e+04;1.559725e+00;2.214096e+04;6.725000e-05;5.301923e-05;5.185961e-04;4.563077e-04;nan;8.905449e-05;1.068234e+01;3.457962e-04;nan;4.602988e-06;3.914938e-06;2.516906e-06;2.431495e-06;
